id,author,title,year,journal,doi,pmid,abstract
1,"Nourollahpour Shiadeh M., Riahi S.M., Adam I., Saber V., Behboodi Moghadam Z., Armon B., Spotin A., Nazari Kangavari H., Rostami A.",Helicobacter pylori infection and risk of preeclampsia: a systematic review and meta-analysis,2019,Journal of Maternal-Fetal and Neonatal Medicine,10.1080/14767058.2017.1378331,28889771,"Objective:Helicobacter pylori is associated with many pregnancy adverse effects such as preeclampsia (PE). We performed this systematic review and meta-analysis study to assess the possible association between H. pylori infection and PE and this is the first meta-analysis to clarify this issue. Methods: PubMed, ISI (Web of Science), SCOPUS, and Google Scholar databases were searched (up to April 2017) to identify the relevant studies. The Meta-analysis of Observational Studies in Epidemiology and Preferred Reporting Items for Systematic Reviews and Meta-Analyses Protocols guidelines were used to do this study. Pooled odds ratio (OR) and 95% confidence intervals (CI) were estimated using a random-effects meta-analysis model. Heterogeneity was assessed with the χ2-based Q-test and I2 statistic. Results: A total of eight studies including 889 participants (460 preeclamptic women and 429 controls) met the eligibility criteria. A positive association was found between H. pylori infection and PE (OR: 3.35; 95% CI: 2.21–5.10). Heterogeneity was acceptable (χ2 = 13.39; I2 = 47.7, 95% CI: 0–77). In subgroup analysis, cytotoxin-associated antigen A seropositivity was a substantial risk factor for PE when immunoblotting methods (OR: 11.12; 95% CI: 5.34–23.16; χ2 = 6.42; I2 = 53.3, 95% CI: 0–85) were used, whereas it was not potential risk factor for PE when ELISA was used as a detecting method (OR: 1.11; 95% CI: 0.6–2.06; χ2 = 1.83; I2 = 0, 95% CI: 0–90). Conclusions: This study indicated that women with H. pylori infection, especially those infected with Cag A positive strains are more likely to have PE compared with the uninfected women. ? 2017, ? 2017 Informa UK Limited, trading as Taylor & Francis Group."
2,"Dardiotis E., Tsouris Z., Mentis A.-F.A., Siokas V., Michalopoulou A., Sokratous M., Dastamani M., Bogdanos D.P., Deretzi G., Kountouras J.",H. pylori and Parkinson's disease: Meta-analyses including clinical severity,2018,Clinical Neurology and Neurosurgery,10.1016/j.clineuro.2018.09.039,,"The exact etiology of Parkinson's disease (PD) remains unclear. Some evidence supports Helicobacter pylori infection as a trigger or driving event, but detection and eradication of H. pylori are not part of PD management. The aims of this case-control study and meta-analysis were to determine (i) the prevalence of H. pylori infection in PD patients, (ii) associations between H. pylori infection and clinical status, and (iii) differences in motor status in PD patients before and after H. pylori eradication. A literature search was performed using the PubMed database. The prevalence of H. pylori infection in PD, its association with the unified Parkinson's disease rating scale (UPDRS), and the association of H. pylori eradication therapy with the UPDRS-III score were determined by calculating the odds ratios (OR) and the standardized mean differences (SMD) with 95% confidence intervals (CI). Fixed- and random-effects models were applied. Ten studies were included in the first meta-analysis (5043 PD patients, 23,449 HCs); H. pylori infection prevalence was higher in PD patients than in HCs [OR (95% CI): 1.47 (1.27, 1.70), Pz&lt;0.00001]. In seven studies reporting UPDRS scores (150 H. pylori infected, 228 non-infected PD patients), there was a significant association between H. pylori infection and mean UPDRS scores [SMD (95% CI): 0.33 (0.12, 0.54), Pz = 0.003]. Regarding H. pylori eradication, in five studies (90 PD patients), there was a significant reduction in UPDRS-III scores after treatment [SMD (95% CI): 6.83 (2.29, 11.38), Pz = 0.003]. In conclusion, the present meta-analysis revealed a higher prevalence of H. pylori infection in PD patients suggesting that H. pylori may contribute to PD pathophysiology. In addition, the significantly lower UPDRS scores in non-infected PD patients and in patients after H. pylori eradication therapy demonstrate that the infection may deteriorate the clinical severity of the disease. ? 2018"
3,"S?nchez C.A., Becker D.J., Teitelbaum C.S., Barriga P., Brown L.M., Majewska A.A., Hall R.J., Altizer S.",On the relationship between body condition and parasite infection in wildlife: a review and meta-analysis,2018,Ecology Letters,10.1111/ele.13160,30369000,"Body condition metrics are widely used to infer animal health and to assess costs of parasite infection. Since parasites harm their hosts, ecologists might expect negative relationships between infection and condition in wildlife, but this assumption is challenged by studies showing positive or null condition–infection relationships. Here, we outline common condition metrics used by ecologists in studies of parasitism, and consider mechanisms that cause negative, positive, and null condition–infection relationships in wildlife systems. We then perform a meta-analysis of 553 condition–infection relationships from 187 peer-reviewed studies of animal hosts, analysing observational and experimental records separately, and noting whether authors measured binary infection status or intensity. Our analysis finds substantial heterogeneity in the strength and direction of condition–infection relationships, a small, negative average effect size that is stronger in experimental studies, and evidence for publication bias towards negative relationships. The strongest predictors of variation in study outcomes are host thermoregulation and the methods used to evaluate body condition. We recommend that studies aiming to assess parasite impacts on body condition should consider host–parasite biology, choose condition measures that can change during the course of infection, and employ longitudinal surveys or manipulate infection status when feasible. ? 2018 John Wiley & Sons Ltd/CNRS"
4,"Asmare K., Sibhat B., Haile A., Sheferaw D., Aragaw K., Abera M., Abebe R., Wieland B.",Lungworm infection in small ruminants in Ethiopia: Systematic review and meta-analysis,2018,Veterinary Parasitology: Regional Studies and Reports,10.1016/j.vprsr.2018.08.003,,"Lungworms are important parasitic nematodes of small ruminants that colonize the lower respiratory tract and cause high morbidity and economic loss throughout the world. This systematic review was conducted with the aim of estimating the pooled prevalence of lungworm infection in small ruminants in Ethiopia. Besides, it examines the predictors thought to be responsible for heterogeneity noted between the reports. The search databases used were PubMed, CAB direct, AJOL and Web of science. Eligible studies were selected based on predefined inclusion and exclusion criteria. Thirty two studies published between 2000 and 2016 were found eligible and data were generated on 14,257 small ruminants (12,310 sheep and 1947 goats). Predictors including the study area, type of small ruminants affected, parasitic species involved, a diagnostic test used, study design, management systems, breed, agroecology, and year article published were used as milestone of data extraction. The statistical tool employed were meta-analysis, univariable and multivariable meta-regression and Egger's and begg's statistics for sensitivity analysis. Accordingly, the estimated pooled prevalence of lung worm infection in small ruminants was 40.8% (95% CI: 36.1, 45.6) with a very high heterogeneity between the study reports (I2 = 96.5%). However, diagnostic test used and administrative States were the only two predictors identified to explain 15.5% of the explainable heterogeneity (R2 = 0.1545, tau2 unexplained = 0.6032, tau2 total = 0.7135) noted between studies. The reviewed studies showed that three genera of lungworms, namely Dictyocaulus filaria, Mullerius capillaris and Protostrogylus rufescens were prevalent both in sheep and goats in Ethiopia. Mixed infection with two or three species was reported in 4.4 to 48.6% of the total infected animals. Indeed this review is informative and provides a better picture on lungworm infection in Ethiopia; however, it is not exhaustively detailed as there was lack of clear data on the role of some important factors like age, flock size, management system and seasonal variation on lungworm infection. Thus, thorough epidemiological studies including all seasons are required for formulation of meaning full control strategies. ? 2018 Elsevier B.V."
5,"Rahimifard N., Mahmoudi S., Mamishi S., Pourakbari B.",Prevalence of latent tuberculosis infection in transplant candidates: A systematic review and meta-analysis,2018,Microbial Pathogenesis,10.1016/j.micpath.2018.09.040,30291870,"Introduction: Tuberculosis (TB) is considered as a serious complication for organ transplant recipients; therefore, the detection and appropriate treatment of latent infection are recommended for preventing active TB infections in the future. The objective of this review is to conduct a systematic review and meta-analysis of studies assessing the prevalence of latent TB infection (LTBI) in transplant candidates. Methods: Electronic databases, including MEDLINE (via PubMed), SCOPUS were searched until 30 June 2017. The prevalence of LTBI was estimated using the random effects meta-analysis. Heterogeneity was evaluated by subgroup analysis. Data were analyzed by STATA version 14. Results: The pooled prevalence of LTBI based on tuberculin skin test (TST) in different transplant types was as follows: liver 24% (14%–33%, 95% CI), lung 22% (18%–26%), renal 21% (16%–27%, 95% CI) and hematopoietic stem cell transplantation (HCT) 14% (9%–19%). The prevalence of LTBI based on Interferon Gamma Release Assay (IGRA) tests in renal transplant candidates was 31% (95% CI; 25–37%), which was much higher than the prevalence of LTBI in liver transplant candidates (25%, 95% CI; 17–33%) and HCT transplant candidates (13%, 95% CI; 10–16%) and there was statistically significant differences between them. The pooled prevalence of indeterminate results based on IGRAs test in different transplant types was as follows: renal 6% (4%–8%, 95% CI) and liver 12% (2%–21%, 95% CI). Subgroup analysis revealed that there were statistically significant differences between the overall prevalence of indeterminate results by using IGRA tests in liver transplant candidates (12%, 95% CI; 2–21%) and renal transplant candidates (6%, 95% CI; 4–8%). The pooled prevalence of post-transplant TB was 2% (1%–2%, 95% CI) and its occurrence was more common in renal recipients (4% (2%–7%, 95% CI)) than in the liver transplant patients (1% (0%–2%, 95% CI)). The prevalence of LTBI in the subgroup (i.e. the patients' mean age was <50 years) was significantly higher than the prevalence of LTBI by using TST/IGRAs in the other subgroup (i.e. the patients’ mean age was ?50 years). Conclusion: Our study suggests fair overall agreement between IGRAs and TST in patients requiring liver and HCT transplantation, while a superiority of IGRAs over TST in patients requiring renal transplantation was seen. ? 2018 Elsevier Ltd"
6,"Wang H., Tong H., Liu H., Wang Y., Wang R., Gao H., Yu P., Lv Y., Chen S., Wang G., Liu M., Li Y., Yu K., Wang C.",Effectiveness of antimicrobial-coated central venous catheters for preventing catheter-related blood-stream infections with the implementation of bundles: a systematic review and network meta-analysis,2018,Annals of Intensive Care,10.1186/s13613-018-0416-4,,"Background: Catheter-related blood-stream infections (CRBSIs) are the most common complication when using central venous catheters (CVCs). Whether coating CVCs under bundles could further reduce the incidence of CRBSIs is unclear. We aimed to assess the effectiveness of implementing the use of bundles with antimicrobial-coated CVCs for preventing catheter-related blood-stream infections. Methods: In this systematic review and network meta-analyses, we searched the Cochrane Central Register of Controlled Trials (CENTRAL) in the Cochrane Library in addition to the EMBASE, MEDLINE, CINAHL, and Web of Science databases for studies published before July 2017. The primary outcome was the rate of CRBSIs per 1000 catheter-days, and the secondary outcome was the incidence of catheter colonization. Results: Twenty-three studies revealed significant differences in the rate of CRBSIs per 1000 catheter-days between antimicrobial-impregnated and standard CVCs (RR 0.70, 95% CI 0.53–0.91, p = 0.008). Thirty-three trials were included containing 10,464 patients who received one of four types of CVCs. Compared with a standard catheter, chlorhexidine/silver sulfadiazine- and antibiotic-coated catheters were associated with lower numbers of CRBSIs per 1000 catheter-days (ORs and 95% CrIs: 0.64 (0.40–0.955) and 0.53 (0.25–0.95), respectively) and a lower incidence of catheter colonization (ORs and 95% CrIs: 0.44 (0.34–0.56) and 0.30 (0.20–0.46), respectively). Conclusions: Outcomes are superior for catheters impregnated with chlorhexidine/silver sulfadiazine or other antibiotics than for standard catheters in preventing CRBSIs and catheter colonization under bundles. Compared with silver ion-impregnated CVCs, chlorhexidine/silver sulfadiazine antiseptic catheters resulted in fewer cases of microbial colonization of the catheter but did not reduce CRBSIs. ? 2018, The Author(s)."
7,"Bekos C., Schwameis R., Heinze G., G?rner M., Grimm C., Joura E., Horvat R., Polterauer S., Polterauer M.","Influence of age on histologic outcome of cervical intraepithelial neoplasia during observational management: Results from large cohort, systematic review, meta-analysis",2018,Scientific Reports,10.1038/s41598-018-24882-2,,"Aim of this study was to investigate the histologic outcome of cervical intraepithelial neoplasia (CIN) during observational management. Consecutive women with histologically verified CIN and observational management were included. Histologic findings of initial and follow-up visits were collected and persistence, progression and regression rates at end of observational period were assessed. Uni- and multivariate analyses were performed. A systematic review of the literature and meta-analysis was performed. In 783 women CIN I, II, and III was diagnosed by colposcopically guided biopsy in 42.5%, 26.6% and 30.9%, respectively. Younger patients had higher rates of regression (p < 0.001) and complete remission (< 0.001) and lower rates of progression (p = 0.003). Among women aged < 25, 25 < 30, 30 < 35, 35 < 40 years, and > 40 years, regression rates were 44.7%, 33.7%, 30.9%, 27.3%, and 24.9%, respectively. Pooled analysis of published data showed similar results. Multivariable analysis showed that with each five years of age, the odds for regression reduced by 21% (p < 0.001) independently of CIN grade (p < 0.001), and presence of HPV high-risk infection (p < 0.001). Patient's age has a considerable influence on the natural history of CIN - independent of CIN grade and HPV high-risk infection. Observational management should be considered for selected young patients with CIN. ? 2018 The Author(s)."
8,"Baseri N., Najar-Peerayeh S., Bagheri Amiri F.",Prevalence of vancomycin-intermediate Staphylococcus aureus among clinical isolates in Iran: A systematic review and meta-analysis,2018,Journal of Global Antimicrobial Resistance,10.1016/j.jgar.2018.06.018,,"Objectives: Vancomycin-intermediate Staphylococcus aureus (VISA) strains have been reported in many countries around the world and their prevalence is increasing. The incidence of these strains in Iran has been reported in some studies, however there is no overall estimation of the VISA incidence in Iran. The objective of this systematic review was to estimate the total prevalence of VISA strains reported from Iran. Methods: A systematic literature review of relevant articles published on ‘S. aureus isolates with intermediate resistance to vancomycin in Iran’ was performed in PubMed and Scopus databases in the period 2010–2017. Results: From 335 records found in the electronic search, 40 related studies were included in the current analysis. This systematic review indicated that the overall prevalence rate of VISA was 0.09% [95% confidence interval (CI) 0.00–0.20] in Iran in 2010–2017. In the classification of VISA based on location, the highest frequency was in Mazandaran Province at 8.36% (95% CI 0.00–18.49%). The most prevalent VISA genotypes in Iran were staphylococcal cassette chromosome mec (SCCmec) type III, accessory gene regulator (agr) group II, sequence type 22 (ST22) and staphylococcal protein A (spa) type t790. Conclusions: Regarding the upward trend in the incidence of VISA strains in Iran and the importance of preventing VISA in public health, it is recommended to control nosocomial infections and to be cautious in the use of vancomycin. ? 2018 International Society for Chemotherapy of Infection and Cancer"
9,"Muzembo B.A., Mbendi N.C., Ngatu N.R., Suzuki T., Wada K., Ikeda S.",Serum selenium levels in tuberculosis patients: A systematic review and meta-analysis,2018,Journal of Trace Elements in Medicine and Biology,10.1016/j.jtemb.2018.07.008,,"Introduction: Tuberculosis (TB) is associated with increased mortality. The high risk of micronutrients deficiency, including selenium, in TB patients is of great concern because it increases the risk of death. However, it is not clear whether selenium supplementation could improve the treatment outcomes in TB patients. We conducted a systematic review and meta-analysis to provide an update on the existing evidence about low selenium levels in TB patients. Methods: In this systematic review and meta-analysis, EMBASE, Medline and the International Journal of Tuberculosis and Lung Disease were searched to identify observational studies on selenium and TB published up until April 2018. Studies comparing blood selenium levels in TB patients to controls were included. Data extraction was performed by two investigators. The quality of the studies was assessed using the Newcastle-Ottawa Quality Assessment Scale. Random effects analysis was performed to calculate the pooled effect size and 95% confidence interval (CI). Results: Of the 605 studies initially identified, only six were eligible. Of them, four were carried out in Asia, and one each in Africa and South America. The random pooled effect size was 1.6 (CI: 0.9, 2.4). This means that the probability is 160% for an individual with TB to have low levels of selenium as compared to an individual without TB. Heterogeneity across the studies was substantial (I2 = 95.1%). Potential sources of heterogeneity included study design and selenium measurement methods. Conclusion: Our review provides compelling evidence that serum selenium is lower in TB patients as compared with controls. Therefore, it is advisable to individually assess selenium status in TB patients and decide whether selenium supplement is needed or not. ? 2018 Elsevier GmbH"
10,"Lyu Y., Cheng Y., Wang B., Zhao S., Chen L.",Early versus delayed laparoscopic cholecystectomy for acute cholecystitis: an up-to-date meta-analysis of randomized controlled trials,2018,Surgical Endoscopy,10.1007/s00464-018-6400-0,30167953,"Background: This study was performed to compare the safety and effectiveness of early laparoscopic cholecystectomy (ELC) with delayed laparoscopic cholecystectomy (DLC) for acute cholecystitis (AC). Methods: A systematic search was performed of PubMed, Embase, Web of Science, the Cochrane Central Register of Controlled Trials, and ClinicalTrials.gov from 1 August 1990 to 1 April 2018. Randomized controlled trials comparing ELC versus DLC were included. The primary outcome was bile duct injury (BDI) and bile leakage. The secondary outcomes were wound infection, total complications, conversion to open surgery, operation time, and total hospital stay. The statistical analysis was performed using Review Manager (RevMan) version 5.3 software (Cochrane Informatics and Knowledge Management Department). Results: Fifteen RCTs were included. A meta-analysis showed no significant differences between ELC and DLC in terms of BDI (risk ratio [RR] 0.79; 95% confidence interval [CI] 0.23–2.79; p = 0.72) (in all subgroups of surgery: within 7, 4, and 3 days) (p = 0.22, 0.49, 0.49, respectively) or bile leakage (RR 2.05; 95% CI 0.98–4.31; p = 0.06). No significant differences were found in the rate of wound infection (RR 0.75; 95% CI 0.51–1.11; p = 0.15), total complications (RR 0.90; 95% CI 0.58–1.39; p = 0.63), or conversion to open surgery (RR 0.94; 95% CI 0.74–1.21; p = 0.64). There were no significant differences in the operation time between ELC and DLC (mean difference [MD] = 9.29?min; 95% CI ? 0.41 to 18.98; p = 0.06), but ELC was associated with a longer surgery time within 7 days (MD = 16.49?min; 95% CI 2.10–30.88; p = 0.02). The pooled results showed that ELC was associated with a significantly shorter duration of hospital stay (MD = ? 3.07 days; 95% CI ? 3.98 to ? 2.16; p < 0.00001), but with no significantly difference with postoperative hospital stay (MD = 0.45?days; 95% CI ? 0.38 to 1.29; p = 0.29). Conclusion: ELC appears as safe and effective as DLC for acute cholecystitis within 7?days from presentation and may shorten the total hospital stay. ? 2018, Springer Science+Business Media, LLC, part of Springer Nature."
